Place of interest,Tipo_Centro,Place address,BiciMAD station,Station location
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Serrano,Calle Serrano nº 54
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Colón A,Calle Serrano nº 34
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Colón B,Calle Serrano nº 34
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Columela,Calle Serrano nº 8
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Mártires Concepcionistas,Calle Mártires Concepcionistas nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Marqués de Salamanca,Calle José Ortega y Gasset nº 30
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Moncloa,Paseo de Moret nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Arcipreste de Hita A,Calle Arcipreste de Hita nº 12
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Arcipreste de Hita B,Calle Arcipreste de Hita nº 12
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo de Moret,Paseo de Moret nº 11
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Quintana,Calle Quintana nº 11
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ferraz,Calle Evaristo San Miguel nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de España A,Calle Princesa nº 5
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de España B,Calle Princesa nº 5
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Altamirano,Calle Altamirano nº 24
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Juan Martín,Calle Juan Martín el Empecinado nº 16
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Méndez Álvaro,Calle Méndez Álvaro nº 11
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Palos de la Frontera,Calle Palos de la Frontera nº 27
